更新时间,#genre#
CCTV12社会与法,http://123.56.129.203:4310/rtp/225.1.8.112:8232$组播源
CCTV12社会与法,http://120.55.49.231:8617/rtp/233.50.201.123:5140$组播源
CCTV12社会与法,http://123.56.129.203:4310/rtp/225.1.8.12:8124$组播源
CCTV12社会与法,http://123.56.129.203:2604/rtp/225.1.8.12:8124$组播源
CCTV12社会与法,http://114.243.156.93:8888/rtp/239.3.1.64:8124$组播源|1920x1080
CCTV12社会与法,http://122.9.151.210:887/rtp/238.255.2.15:5999$组播源
CCTV12社会与法,http://139.196.151.191:2051/rtp/239.45.3.10:5140$组播源
CCTV12社会与法,http://116.128.242.83:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV12社会与法,http://39.98.201.151:9090/udp/225.1.8.12:8124$订阅源
CCTV12社会与法,http://1.24.190.98:10089/hls/22/index.m3u8$订阅源
CCTV12社会与法,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265012$订阅源
CCTV12社会与法,http://123.182.60.29:9002/hls/12/index.m3u8$订阅源
CCTV12社会与法,http://1b6467f415.iok.la:9931/tsfile/live/1032_1.m3u8$订阅源
CCTV12社会与法,http://111.31.22.3/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000001000032494/index.m3u8?channel-id=ystenlive&Contentid=1000000001000032494&livemode=1&stbId=no$订阅源
CCTV12社会与法,http://119.163.199.98:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV12社会与法,http://gslbservzqhsw.itv.cmvideo.cn/0000000000001000/1000000001000032494/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=1000000001000032494$订阅源
CCTV12社会与法,http://117.72.68.25:9930/migu.php?id=cctv12$订阅源
CCTV12社会与法,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000//1.m3u8?channel-id=ystenlive&Contentid=1000000001000032494&livemode=1&stbId=3$订阅源
CCTV13新闻,http://139.196.151.191:8963/rtp/239.45.1.198:5140$上海电信组播源
CCTV13新闻,http://123.56.129.203:4310/rtp/225.1.8.168:8130$组播源
CCTV13新闻,http://120.55.49.231:3095/rtp/233.50.201.246:5140$组播源
CCTV13新闻,http://120.55.49.231:8617/rtp/233.50.201.246:5140$组播源
CCTV13新闻,http://139.196.151.191:6846/rtp/239.45.1.198:5140$组播源
CCTV13新闻,http://122.9.151.210:887/rtp/238.255.2.16:5999$组播源
CCTV13新闻,http://120.55.49.231:8617/rtp/233.50.201.13:5140$组播源
CCTV13新闻,http://123.56.129.203:4310/rtp/225.1.1.10:8128$组播源
CCTV13新闻,http://123.56.129.203:2604/rtp/225.1.1.10:8128$组播源
CCTV13新闻,http://123.56.129.203:2604/rtp/225.1.8.168:8130$组播源
CCTV13新闻,http://116.128.242.83:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV13新闻,http://tvbox6.icu/tv/migu.php?id=cctv13$订阅源
CCTV13新闻,http://39.98.201.151:9090/udp/225.1.8.168:8130$订阅源
CCTV13新闻,http://gslbservzqhsw.itv.cmvideo.cn/0000000000001000/5000000011000031108/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000011000031108$订阅源
CCTV13新闻,http://61.136.172.236:9901/tsfile/live/0013_1.m3u8$订阅源
CCTV13新闻,http://36.35.16.98:9901/tsfile/live/0001_33.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV13新闻,http://116.117.106.144:8096/tsfile/live/0013_1.m3u8$订阅源
CCTV13新闻,http://101.43.66.162/migunew.php?id=cctv13$订阅源
CCTV13新闻,http://58.216.229.130:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV13新闻,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/5000000005000001827/1.m3u8?channel-id=bestzb&Contentid=5000000005000001827&livemode=1&stbId=3$订阅源
CCTV13新闻,http://211.101.247.19:6699/api/migu.php?type=hls&url=live-cctv13$订阅源|1920x1080
CCTV14少儿,http://139.196.151.191:8963/rtp/239.45.3.23:5140$上海电信组播源
CCTV14少儿,http://120.55.49.231:8617/rtp/233.50.201.124:5140$组播源
CCTV14少儿,http://123.56.129.203:4310/rtp/225.1.8.114:8236$组播源
CCTV14少儿,http://123.56.129.203:4310/rtp/225.1.8.14:8132$组播源
CCTV14少儿,http://122.9.151.210:887/rtp/238.255.2.17:5999$组播源
CCTV14少儿,http://114.243.156.93:8888/rtp/239.3.1.65:8132$组播源|1920x1080
CCTV14少儿,http://123.56.129.203:2604/rtp/225.1.8.14:8132$组播源
CCTV14少儿,http://120.55.49.231:3095/rtp/233.50.201.124:5140$组播源
CCTV14少儿,http://139.196.151.191:2051/rtp/239.45.3.23:5140$组播源
CCTV14少儿,http://123.56.129.203:2604/rtp/225.1.8.114:8236$组播源
CCTV14少儿,http://116.128.242.83:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV14少儿,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000005000265013/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265013&livemode=1&stbId=no$订阅源
CCTV14少儿,http://gslbservzqhsw.itv.cmvideo.cn/0000000000001000/1000000001000008170/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=1000000001000008170$订阅源
CCTV14少儿,http://221.196.136.66:1/udp/225.1.1.144:5002$订阅源|1920x1080
CCTV14少儿,http://221.213.69.82:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV14少儿,http://60.210.100.54:352/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV14少儿,http://39.98.201.151:9090/udp/225.1.8.114:8236$订阅源
CCTV14少儿,http://211.101.247.19:6699/api/migu.php?type=hls&url=cctv14$订阅源|1920x1080
CCTV14少儿,http://vod.hnqczh.cn:808/hls/21/index.m3u8$订阅源
CCTV14少儿,http://123.129.70.178:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV14少儿,http://101.43.66.162/migunew.php?id=cctv14$订阅源
CCTV15音乐,http://139.196.151.191:8963/rtp/239.45.1.200:5140$上海电信组播源
CCTV15音乐,http://139.196.151.191:7549/rtp/239.45.1.200:5140$组播源
CCTV15音乐,http://123.56.129.203:2604/rtp/225.1.8.115:8052$组播源
CCTV15音乐,http://120.55.49.231:3095/rtp/233.50.201.15:5140$组播源
CCTV15音乐,http://123.56.129.203:2604/rtp/225.1.8.74:8136$组播源
CCTV15音乐,http://139.196.151.191:2051/rtp/239.45.1.200:5140$组播源
CCTV15音乐,http://139.196.151.191:6846/rtp/239.45.1.200:5140$组播源
CCTV15音乐,http://114.243.156.93:8888/rtp/239.3.1.153:8136$组播源|1920x1080
CCTV15音乐,http://120.55.49.231:8617/rtp/233.50.201.15:5140$组播源
CCTV15音乐,http://123.56.129.203:4310/rtp/225.1.8.115:8052$组播源
CCTV15音乐,http://116.128.242.83:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV15音乐,http://gslbserv.itv.cmvideo.cn/1000000005000265014/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265014&livemode=1&stbId=3$订阅源
CCTV15音乐,http://39.98.201.151:9090/udp/225.1.8.74:8136$订阅源
CCTV15音乐,http://101.43.66.162/migunew.php?id=cctv15$订阅源
CCTV15音乐,http://123.182.60.29:9002/hls/15/index.m3u8$订阅源
CCTV15音乐,http://58.48.37.158:1111/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV15音乐,http://211.101.247.19:6699/api/migu.php?type=hls&url=live-cctv15$订阅源|1920x1080
CCTV15音乐,http://124.128.73.58:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV15音乐,http://119.163.199.98:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV15音乐,http://36.35.16.98:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV15音乐,http://111.31.22.3/cache.ott.fifalive.itv.cmvideo.cn/000000001000/5000000011000031109/index.m3u8?channel-id=bestzb&Contentid=5000000011000031109&livemode=1&stbId=no$订阅源
CCTV-17农村农业,http://139.196.151.191:8963/rtp/239.45.3.52:5140$上海电信组播源
CGTN,http://139.196.151.191:8963/rtp/239.45.1.194:5140$上海电信组播源
动漫秀场,http://60.164.128.167:8029/rtp/239.255.29.16:8231$组播源|1920x1080
动漫秀场,http://171.125.63.116:8888/rtp/226.0.2.183:9376$组播源|1920x1080
动漫秀场,http://139.196.151.191:8963/rtp/239.45.3.134:5140$上海电信组播源
动漫秀场,http://122.9.151.210:2676/rtp/238.255.2.196:5999$组播源
动漫秀场,http://122.9.151.210:8530/rtp/238.255.2.196:5999$组播源
动漫秀场,http://120.55.49.231:8617/rtp/233.50.201.184:5140$组播源
动漫秀场,http://120.55.49.231:6519/rtp/233.50.201.184:5140$组播源
动漫秀场,http://122.9.151.210:887/rtp/238.255.2.196:5999$组播源
动漫秀场,http://122.9.151.210:2224/rtp/238.255.2.196:5999$组播源
动漫秀场,http://139.196.151.191:6221/rtp/239.45.3.134:5140$组播源
动漫秀场,http://218.67.179.51:8888/udp/225.1.1.134:5002$订阅源|1920x1080
动漫秀场,http://221.196.136.66:1/udp/225.1.1.134:5002$订阅源|1920x1080
生活时尚,http://139.196.151.191:8963/rtp/239.45.3.132:5140$上海电信组播源
生活时尚,http://221.196.136.66:1/udp/225.1.1.143:5002$订阅源|1920x1080
生活时尚,http://221.0.78.198:1681/hls/10275/index.m3u8$订阅源
游戏风云,http://139.196.151.191:8963/rtp/239.45.3.131:5140$上海电信组播源
游戏风云,http://122.9.151.210:7654/rtp/238.255.2.197:5999$组播源
游戏风云,http://122.9.151.210:2224/rtp/238.255.2.197:5999$组播源
游戏风云,http://139.196.151.191:6221/rtp/239.45.3.131:5140$组播源
游戏风云,http://122.9.151.210:2458/rtp/238.255.2.197:5999$组播源
游戏风云,http://139.196.151.191:2051/rtp/239.45.3.131:5140$组播源
游戏风云,http://120.55.49.231:1314/rtp/233.50.201.183:5140$组播源
游戏风云,http://122.9.151.210:2676/rtp/238.255.2.197:5999$组播源
游戏风云,http://120.55.49.231:8617/rtp/233.50.201.183:5140$组播源
游戏风云,http://139.196.151.191:7549/rtp/239.45.3.131:5140$组播源
游戏风云,http://60.176.235.114:9999/udp/233.50.200.14:5140$订阅源|1920x1080
游戏风云,http://221.196.136.66:1/udp/225.1.1.135:5002$订阅源|1920x1080
MAX极速汽车,http://139.196.151.191:8963/rtp/239.45.3.49:5140$上海电信组播源
教育台,http://139.196.151.191:8963/rtp/239.45.3.122:5140$上海电信组播源
东方财经,http://139.196.151.191:8963/rtp/239.45.1.119:5140$上海电信组播源
东方财经,http://123.180.177.20:16000/udp/239.253.93.239:6417$订阅源|1920x1080
东方财经,http://111.31.22.3/cache.ott.fifalive.itv.cmvideo.cn/000000001000/5000000007000010003/1.m3u8?channel-id=bestzb&Contentid=5000000007000010003&livemode=1&stbId=3$订阅源
七彩戏剧,http://139.196.151.191:8963/rtp/239.45.3.61:5140$上海电信组播源
七彩戏剧,http://tvbox6.icu/tv/migu.php?id=qcxj$订阅源
法治天地,http://139.196.151.191:8963/rtp/239.45.1.46:5140$上海电信组播源
浦东频道,http://139.196.151.191:8963/rtp/239.45.3.248:5140$上海电信组播源
崇明电视,http://139.196.151.191:8963/rtp/239.45.1.54:5140$上海电信组播源
崇明电视,https://pili-live-hls.wdit.com.cn/wditlive/c038f4fafbdf4f97ba74c74ad67259b931ee.m3u8$订阅源|1920x1080
嘉定频道,http://139.196.151.191:8963/rtp/239.45.3.185:5140$上海电信组播源
金色频道,http://139.196.151.191:8963/rtp/239.45.1.118:5140$上海电信组播源
健康人生,http://139.196.151.191:8963/rtp/239.45.3.214:5140$上海电信组播源
百事通超级体育,http://139.196.151.191:8963/rtp/239.45.3.139:5140$上海电信组播源
百事通4K,http://139.196.151.191:8963/rtp/239.45.1.42:5140$上海电信组播源
百事通4K,http://139.196.151.191:8963/rtp/239.45.3.107:5140$上海电信组播源
百事通4K（备）,http://139.196.151.191:8963/rtp/239.45.1.42:5140$上海电信组播源
百事通4K（备）,http://139.196.151.191:8963/rtp/239.45.3.107:5140$上海电信组播源
中国教育-1,http://139.196.151.191:8963/rtp/239.45.1.125:5140$上海电信组播源
中国教育-2,http://139.196.151.191:8963/rtp/239.45.1.52:5140$上海电信组播源
中国教育-4,http://139.196.151.191:8963/rtp/239.45.1.50:5140$上海电信组播源
浙江卫视,http://139.196.151.191:8963/rtp/239.45.3.178:5140$上海电信组播源
浙江卫视,http://139.196.151.191:6846/rtp/239.45.3.178:5140$组播源
浙江卫视,http://123.56.129.203:2604/rtp/225.1.8.133:8284$组播源
浙江卫视,http://120.55.49.231:8617/rtp/233.50.201.100:5140$组播源
浙江卫视,http://139.196.151.191:2051/rtp/239.45.3.178:5140$组播源
浙江卫视,http://139.196.151.191:7549/rtp/239.45.3.178:5140$组播源
浙江卫视,http://120.55.49.231:8617/rtp/233.50.200.231:5140$组播源
浙江卫视,http://120.55.49.231:3095/rtp/233.50.201.100:5140$组播源
浙江卫视,http://114.243.156.93:8888/rtp/239.3.1.137:8036$组播源|1920x1080
浙江卫视,http://122.9.151.210:887/rtp/238.255.2.100:5999$组播源
浙江卫视,http://116.128.242.83:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
浙江卫视,http://219.147.200.9:18080/newlive/live/hls/29/live.m3u8$订阅源
浙江卫视,http://39.98.201.151:9090/udp/225.1.8.133:8284$订阅源
浙江卫视,http://1b6467f415.iok.la:9931/tsfile/live/1059_1.m3u8$订阅源
浙江卫视,http://111.31.22.3/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000001000009806/1.m3u8?channel-id=ystenlive&Contentid=1000000001000009806&livemode=1&stbId=3$订阅源
浙江卫视,http://121.24.98.232:8090/hls/79/index.m3u8$订阅源
浙江卫视,http://116.117.105.198:8096/tsfile/live/0124_1.m3u8$订阅源
浙江卫视,http://60.223.224.176:8888/newlive/live/hls/23/live.m3u8$订阅源
浙江卫视,http://221.0.78.198:1681/hls/10231/index.m3u8$订阅源
浙江卫视,http://36.35.16.98:9901/tsfile/live/0001_24.m3u8?key=txiptv&playlive=0&authid=0$订阅源
浙江卫视,http://vod.hnqczh.cn:808/hls/22/index.m3u8$订阅源
江苏卫视,http://139.196.151.191:8963/rtp/239.45.3.177:5140$上海电信组播源
江苏卫视,http://114.243.156.93:8888/rtp/239.3.1.135:8028$组播源|1920x1080
江苏卫视,http://122.9.151.210:887/rtp/238.255.2.104:5999$组播源
江苏卫视,http://120.55.49.231:8617/rtp/233.50.201.106:5140$组播源
江苏卫视,http://120.55.49.231:8617/rtp/233.50.201.41:5140$组播源
江苏卫视,http://123.56.129.203:4310/rtp/225.1.8.134:8276$组播源
江苏卫视,http://120.55.49.231:3095/rtp/233.50.201.41:5140$组播源
江苏卫视,http://139.196.151.191:7549/rtp/239.45.3.177:5140$组播源
江苏卫视,http://123.56.129.203:2604/rtp/225.1.8.134:8276$组播源
江苏卫视,http://139.196.151.191:2051/rtp/239.45.3.177:5140$组播源
江苏卫视,http://116.128.242.83:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
江苏卫视,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265030$订阅源
江苏卫视,http://123.182.60.29:9002/hls/27/index.m3u8$订阅源
江苏卫视,http://124.128.73.58:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
江苏卫视,http://110.53.52.63:8888/newlive/live/hls/21/live.m3u8$订阅源
江苏卫视,http://111.61.236.247:9081/hls/26/index.m3u8$订阅源
江苏卫视,http://211.101.247.19:6699/api/migu.php?type=hls&url=jsws$订阅源|1920x1080
江苏卫视,http://111.31.22.3/cache.ott.fifalive.itv.cmvideo.cn/000000001000/6000000001000014861/1.m3u8?channel-id=wasusyt&Contentid=6000000001000014861&livemode=1&stbId=3$订阅源
江苏卫视,http://222.134.245.16:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
江苏卫视,http://1b6467f415.iok.la:9931/tsfile/live/1060_1.m3u8$订阅源
江苏卫视,http://116.117.105.198:8096/tsfile/live/0127_1.m3u8$订阅源
湖南卫视,http://139.196.151.191:8963/rtp/239.45.3.228:5140$上海电信组播源
湖南卫视,http://122.9.151.210:887/rtp/238.255.2.93:5999$组播源
湖南卫视,http://120.55.49.231:3095/rtp/233.50.201.52:5140$组播源
湖南卫视,http://139.196.151.191:2051/rtp/239.45.3.228:5140$组播源
湖南卫视,http://123.56.129.203:2604/rtp/225.1.8.132:8064$组播源
湖南卫视,http://139.196.151.191:6846/rtp/239.45.3.228:5140$组播源
湖南卫视,http://120.55.49.231:3095/rtp/233.50.201.103:5140$组播源
湖南卫视,http://114.243.156.93:8888/rtp/239.3.1.132:8012$组播源|1920x1080
湖南卫视,http://120.55.49.231:8617/rtp/233.50.201.103:5140$组播源
湖南卫视,http://120.55.49.231:8617/rtp/233.50.201.52:5140$组播源
湖南卫视,http://116.128.242.83:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
湖南卫视,http://39.98.201.151:9090/udp/225.1.8.132:8064$订阅源
湖南卫视,http://123.182.60.29:9002/hls/30/index.m3u8$订阅源
湖南卫视,http://123.166.61.70:8003/hls/58/index.m3u8$订阅源
湖南卫视,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265024$订阅源
湖南卫视,http://36.35.16.98:9901/tsfile/live/0001_20.m3u8?key=txiptv&playlive=0&authid=0$订阅源
湖南卫视,http://222.134.245.16:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
湖南卫视,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/5000000004000006692/index.m3u8?channel-id=bestzb&Contentid=5000000004000006692&livemode=1&stbId=no$订阅源
湖南卫视,http://121.24.98.232:8090/hls/56/index.m3u8$订阅源
湖南卫视,http://111.61.236.247:9081/hls/24/index.m3u8$订阅源
湖南卫视,http://218.89.240.144:59901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
北京卫视,http://139.196.151.191:8963/rtp/239.45.3.229:5140$上海电信组播源
北京卫视,http://122.9.151.210:887/rtp/238.255.2.81:5999$组播源
北京卫视,http://120.55.49.231:3095/rtp/233.50.201.107:5140$组播源
北京卫视,http://139.196.151.191:6846/rtp/239.45.3.229:5140$组播源
北京卫视,http://114.243.156.93:8888/rtp/239.3.1.241:8000$组播源|1920x1080
北京卫视,http://139.196.151.191:2051/rtp/239.45.3.229:5140$组播源
北京卫视,http://123.56.129.203:2604/rtp/225.1.8.21:8002$组播源
北京卫视,http://120.55.49.231:8617/rtp/233.50.201.40:5140$组播源
北京卫视,http://139.196.151.191:7549/rtp/239.45.3.229:5140$组播源
北京卫视,http://120.55.49.231:3095/rtp/233.50.201.40:5140$组播源
北京卫视,http://116.128.242.83:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
北京卫视,http://218.89.240.144:59901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
北京卫视,http://119.163.199.98:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
北京卫视,http://111.31.22.3/cache.ott.fifalive.itv.cmvideo.cn/000000001000/6000000001000020451/1.m3u8?channel-id=wasusyt&Contentid=6000000001000020451&livemode=1&stbId=3$订阅源
北京卫视,http://39.98.201.151:9090/udp/225.1.8.21:8002$订阅源
北京卫视,http://123.182.60.29:9002/hls/22/index.m3u8$订阅源
北京卫视,http://121.24.98.232:8090/hls/32/index.m3u8$订阅源
北京卫视,http://202.100.46.58:9901/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
北京卫视,http://58.48.37.158:1111/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
北京卫视,http://61.138.128.226:19901/tsfile/live/0122_1.m3u8$订阅源
北京卫视,http://123.166.61.70:8003/hls/56/index.m3u8$订阅源
广东卫视,http://139.196.151.191:8963/rtp/239.45.3.230:5140$上海电信组播源
广东卫视,http://120.55.49.231:8617/rtp/233.50.200.187:5140$组播源
广东卫视,http://120.55.49.231:3095/rtp/233.50.201.56:5140$组播源
广东卫视,http://120.55.49.231:8617/rtp/233.50.201.56:5140$组播源
广东卫视,http://139.196.151.191:6846/rtp/239.45.3.230:5140$组播源
广东卫视,http://139.196.151.191:7549/rtp/239.45.3.230:5140$组播源
广东卫视,http://123.56.129.203:4310/rtp/225.1.8.151:8132$组播源
广东卫视,http://139.196.151.191:2051/rtp/239.45.3.230:5140$组播源
广东卫视,http://114.243.156.93:8888/rtp/239.3.1.142:8048$组播源|1920x1080
广东卫视,http://120.55.49.231:3095/rtp/233.50.200.187:5140$组播源
广东卫视,http://116.128.242.83:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
广东卫视,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265034$订阅源
广东卫视,http://211.101.247.19:6699/api/migu.php?type=hls&url=live-gdws$订阅源|1920x1080
广东卫视,http://116.117.105.198:8096/tsfile/live/0125_1.m3u8$订阅源
广东卫视,http://116.117.106.144:8096/tsfile/live/0125_1.m3u8$订阅源
广东卫视,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000001000014176/index.m3u8?channel-id=ystenlive&Contentid=1000000001000014176&livemode=1&stbId=no$订阅源
广东卫视,http://211.101.247.19:6699/api/migu.php?type=hls&url=gdws$订阅源|1920x1080
广东卫视,http://113.57.93.165:9900/tsfile/live/0125_1.m3u8$订阅源
广东卫视,http://222.169.85.8:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
广东卫视,http://39.98.201.151:9090/udp/225.1.8.151:8132$订阅源
广东卫视,http://39.98.201.151:9090/udp/225.1.8.49:8048$订阅源
深圳卫视,http://139.196.151.191:8963/rtp/239.45.3.231:5140$上海电信组播源
深圳卫视,http://122.9.151.210:887/rtp/238.255.2.61:5999$组播源
深圳卫视,http://120.55.49.231:3095/rtp/233.50.201.45:5140$组播源
深圳卫视,http://139.196.151.191:2051/rtp/239.45.3.231:5140$组播源
深圳卫视,http://120.55.49.231:3095/rtp/233.50.201.101:5140$组播源
深圳卫视,http://120.55.49.231:8617/rtp/233.50.201.101:5140$组播源
深圳卫视,http://123.56.129.203:4310/rtp/225.1.8.145:9244$组播源
深圳卫视,http://120.55.49.231:8617/rtp/233.50.201.45:5140$组播源
深圳卫视,http://114.243.156.93:8888/rtp/239.3.1.134:8020$组播源|1920x1080
深圳卫视,http://139.196.151.191:6846/rtp/239.45.3.231:5140$组播源
深圳卫视,http://116.128.242.83:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
深圳卫视,http://tx.stlyx.cn:5000/ysp/shenzhen$订阅源
深圳卫视,http://117.72.68.25:9930/shenzhen.php?id=szws$订阅源
深圳卫视,http://39.98.201.151:9090/udp/225.1.8.43:8020$订阅源
深圳卫视,http://111.31.22.3/cache.ott.fifalive.itv.cmvideo.cn/000000001000/6000000001000002116/1.m3u8?channel-id=wasusyt&Contentid=6000000001000002116&livemode=1&stbId=3$订阅源
深圳卫视,http://124.128.73.58:9901/tsfile/live/0126_1.m3u8$订阅源
深圳卫视,http://1b6467f415.iok.la:9931/tsfile/live/1067_1.m3u8$订阅源
深圳卫视,http://58.216.229.130:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
深圳卫视,http://111.61.236.247:9081/hls/38/index.m3u8$订阅源
深圳卫视,http://36.35.16.98:9901/tsfile/live/0001_22.m3u8?key=txiptv&playlive=0&authid=0$订阅源
深圳卫视,http://vod.hnqczh.cn:808/hls/28/index.m3u8$订阅源
黑龙江卫视,http://139.196.151.191:8963/rtp/239.45.3.232:5140$上海电信组播源
黑龙江卫视,http://139.196.151.191:7549/rtp/239.45.3.232:5140$组播源
黑龙江卫视,http://139.196.151.191:2051/rtp/239.45.3.232:5140$组播源
黑龙江卫视,http://123.56.129.203:2604/rtp/225.1.8.141:8196$组播源
黑龙江卫视,http://120.55.49.231:8617/rtp/233.50.201.42:5140$组播源
黑龙江卫视,http://120.55.49.231:3095/rtp/233.50.201.42:5140$组播源
黑龙江卫视,http://114.243.156.93:8888/rtp/239.3.1.133:8016$组播源|1920x1080
黑龙江卫视,http://139.196.151.191:6846/rtp/239.45.3.232:5140$组播源
黑龙江卫视,http://123.56.129.203:4310/rtp/225.1.8.141:8196$组播源
黑龙江卫视,http://122.9.151.210:887/rtp/238.255.2.96:5999$组播源
黑龙江卫视,http://116.128.242.83:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
黑龙江卫视,https://live.v1.mk/api/bestv.php?id=hljwshd8m/8000000$订阅源|3840x2160
黑龙江卫视,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000005000265029/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265029&livemode=1&stbId=no$订阅源
黑龙江卫视,http://gslbservzqhsw.itv.cmvideo.cn/1000000005000265029/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265029&livemode=1&stbId=3$订阅源
黑龙江卫视,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000001000001925/index.m3u8?channel-id=ystenlive&Contentid=1000000001000001925&livemode=1&stbId=no$订阅源
黑龙江卫视,http://39.98.201.151:9090/udp/225.1.8.42:8016$订阅源
黑龙江卫视,http://119.163.199.98:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
黑龙江卫视,http://121.24.98.232:8090/hls/42/index.m3u8$订阅源
黑龙江卫视,http://39.98.201.151:9090/udp/225.1.8.141:8196$订阅源
黑龙江卫视,http://111.61.236.247:9081/hls/34/index.m3u8$订阅源
黑龙江卫视,http://111.31.22.3/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000001000001925/1.m3u8?channel-id=ystenlive&Contentid=1000000001000001925&livemode=1&stbId=3$订阅源
山东卫视,http://139.196.151.191:8963/rtp/239.45.3.238:5140$上海电信组播源
山东卫视,http://123.56.129.203:2604/rtp/225.1.8.138:8148$组播源
山东卫视,http://123.56.129.203:4310/rtp/225.1.8.138:8148$组播源
山东卫视,http://139.196.151.191:7549/rtp/239.45.3.238:5140$组播源
山东卫视,http://120.55.49.231:3095/rtp/233.50.201.105:5140$组播源
山东卫视,http://120.55.49.231:8617/rtp/233.50.201.64:5140$组播源
山东卫视,http://139.196.151.191:6846/rtp/239.45.3.238:5140$组播源
山东卫视,http://114.243.156.93:8888/rtp/239.3.1.209:8052$组播源|1920x1080
山东卫视,http://120.55.49.231:3095/rtp/233.50.201.64:5140$组播源
山东卫视,http://139.196.151.191:2051/rtp/239.45.3.238:5140$组播源
山东卫视,http://116.128.242.83:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
山东卫视,http://222.241.154.37:9901/tsfile/live/23040_1.m3u8?key=tvbox6_com&playlive=1&authid=0$订阅源
山东卫视,http://vod.hnqczh.cn:808/hls/35/index.m3u8$订阅源
山东卫视,http://123.182.60.29:9002/hls/32/index.m3u8$订阅源
山东卫视,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265019$订阅源
